person_id,year,quarter,target
1,2022,1,9630.44
1,2022,2,13396.74
1,2022,3,13809.33
1,2022,4,6643.37
1,2023,1,8394.75
1,2023,2,8439.22
1,2023,3,8946.62
1,2023,4,9848.3
2,2022,1,9203.88
2,2022,2,12553.92
2,2022,3,13732.17
2,2022,4,12952.42
2,2023,1,13188.36
2,2023,2,9026.77
2,2023,3,5496.69
2,2023,4,13987.69
3,2022,1,5746.91
3,2022,2,15444.57
3,2022,3,13036.23
3,2022,4,12936.65
3,2023,1,14135.51
3,2023,2,12934.73
3,2023,3,14621.13
3,2023,4,15620.87
4,2022,1,6308.04
4,2022,2,6089.55
4,2022,3,10989.83
4,2022,4,11920.79
4,2023,1,15520.03
4,2023,2,5439.51
4,2023,3,6367.0
4,2023,4,15746.36
5,2022,1,11865.49
5,2022,2,7375.29
5,2022,3,6707.46
5,2022,4,12492.53
5,2023,1,8098.38
5,2023,2,5547.32
5,2023,3,13938.11
5,2023,4,10146.72
